#   npix      mod  mod_pix          X(foc)         Y(foc)          theta             phi        omt(foc)        omt(ffr)
       1        0        1   -2.2371258484   -0.596831457    0.266128156  -74.4594215781    0.0000000000   -0.0387471002 
       2        0        2   -1.4799073074   -5.522958409    0.657184420  -14.9564970397    0.0000000000   -0.0245028675 
       3        0        3    2.2964134444   -5.610203191    0.696424105   22.2044485188    0.0000000000    0.0379906774 
       4        0        4    2.3865981272   -2.463187567    0.395005644   43.8257438024    0.0000000000    0.0406462402 
       5        0        5   -0.4540946522   -0.588501737    0.087640499  -36.4299010208    0.0000000000   -0.0078655379 
       6        0        6   -0.5432993679   -3.945285737    0.458937027   -7.7978021173    0.0000000000   -0.0091282454 
       7        0        7    0.4981927595   -2.367123082    0.280055122   11.7640673178    0.0000000000    0.0084921722 
       8        0        8    1.4495002042   -3.935976051    0.483032302   20.1161754362    0.0000000000    0.0243558506 
       9        0        9   -1.4950967962   -2.271548581    0.314035323  -33.0692146586    0.0000000000   -0.0255074623 
      10        0       10    1.5387049200   -0.579192051    0.189506537   68.5266829894    0.0000000000    0.0266546574 
      11        0       11    3.4427897599   -4.031550552    0.609202051   40.3676582644    0.0000000000    0.0577977152 
      12        0       12    0.4084980603   -5.619022894    0.647657606    4.1453660922    0.0000000000    0.0067574390 
      13        0       13    3.4271102876   -0.675256536    0.400856236   78.4805742133    0.0000000000    0.0593158874 
      14        0       14   -2.3263305641   -3.953615457    0.527765576  -30.3436490271    0.0000000000   -0.0390827521 
      15        1        1   50.0927342155    1.220933134    5.734826895   92.2350632192    0.0000000000    0.8807490717 
      16        1        2   56.4029349188   -2.420614436    6.451475643   88.4846887186    0.0000000000    0.9595718780 
      17        1        3   50.1280130281   -6.330728403    5.770145247   83.6269817534    0.0000000000    0.8226826095 
      18        3        1   22.5102081375   45.563943154    5.899349360  154.1253846838    0.0000000000    0.5494485314 
      19        3        2   28.9262729958   41.713117192    5.884557889  145.7910539628    0.0000000000    0.6890431378 
      20        3        3   22.5459769336   37.907397429    5.108144087  149.6637718993    0.0000000000    0.5240180816 
