# npix	mod	mod_pix	X(foc)		Y(foc)		theta		phi		omt(foc)	omt(ffr)	freq(MHz)
1	1	1	-25.5097	-8.82316	3.084780579	-71.3016052	0		-0.409179	0.0
2	1	2	-12.3896	-24.01		3.076251128	-27.47230618	0		-0.169567	0.0
3	1	3	-12.3853	-31.2814	3.821954775	-21.78305421	0		-0.155505	0.0
4	1	4	0.383943	-38.5979	4.375850375	0.575593138	0		0.00438421	0.0
5	2	1	57.657		2.47295		6.603371771	-86.56893091	0		1.02457	0.0
6	2	2	59.592		2.41766		6.823432929	-86.66787475	0		1.05834	0.0
7	2	3	61.527		2.37311		7.043191684	-86.7485839	0		1.09217	0.0
8	2	4	62.5169		0.721881	7.147558657	-88.28270983	0		1.09369	0.0
9	2	5	60.5813		0.69117		6.92729385	-88.32432923	0		1.05965	0.0
10	2	6	58.5713		0.779197	6.698845614	-88.25062403	0		1.0254	0.0
11	2	7	56.679		0.791217	6.483710402	-88.24611416	0		0.992473	0.0
12	2	8	57.593		-0.967042	6.58441143	-89.99586567	0		0.992735	0.0
13	2	9	59.496		-0.97913	6.801213567	-89.94366318	0		1.02532	0.0
14	2	10	61.5389		-0.959854	7.033372154	-89.8589589	0		1.0606	0.0
15	2	11	62.2812		-2.65252	7.119876288	88.60459649	0		1.05699	0.0
16	2	12	60.4533		-2.67316	6.912551658	88.47985579	0		1.02589	0.0
17	2	13	58.4858		-2.66066	6.689014958	88.37300622	0		0.992719	0.0
18	2	14	56.5077		-2.61584	6.46389171	88.29306762	0		0.959638	0.0
19	2	15	57.4648		-4.34212	6.58141272	86.63511717	0		0.960456	0.0
20	2	16	59.3358		-4.311		6.793468139	86.8331457	0		0.99191	0.0
21	2	17	61.3353		-4.36671	7.02025819	86.95064719	0		1.02469	0.0
22	3	1	-9.94852	43.6117		5.190761165	12.66845874	0		-0.239903	0.0
23	3	2	-9.69441	50.0071		5.92215232	10.7903348	0		-0.243194	0.0
24	3	3	-9.48331	56.4028		6.661906194	9.363851967	0		-0.247076	0.0
25	3	4	-9.33672	62.7988		7.408964003	8.276188629	0		-0.252252	0.0
26	3	5	-9.1683		69.2485		8.166280076	7.362236071	0		-0.256565	0.0
27	3	6	-3.94228	65.8287		7.702650697	3.350497323	0		-0.108304	0.0
28	3	7	-4.0675		59.411		6.942952921	3.838645967	0		-0.107821	0.0
29	3	8	-4.21416	53.0041		6.187766913	4.466444605	0		-0.107632	0.0
30	3	9	-4.30713	46.5862		5.433966313	5.202823477	0		-0.105814	0.0
31	3	10	0.909317	43.36		5.032565514	-1.184827791	0		0.0218933	0.0
32	3	11	1.14107		49.6157		5.769706721	-1.296198239	0		0.0285578	0.0
33	3	12	1.34188		56.0867		6.534757539	-1.345057738	0		0.0348977	0.0
34	3	13	1.54209		62.4609		7.290724423	-1.384524479	0		0.0415857	0.0
35	3	14	1.74277		68.9104		8.058277006	-1.414591748	0		0.0486825	0.0
36	3	15	6.95771		65.4369		7.685104223	-5.93402906	0		0.190735	0.0
37	3	16	6.89713		59.0403		6.929193794	-6.531126028	0		0.182442	0.0
38	3	17	6.53596		52.7208		6.181384863	-6.944060762	0		0.166651	0.0
39	3	18	6.44346		46.3782		5.438199905	-7.79087	0		0.158093	0.0
40	3	19	11.616		43.0124		5.169184292	-14.90102016	0		0.279051	0.0
41	3	20	11.9453		49.3858		5.906026312	-13.37464276	0		0.298531	0.0
42	3	21	12.2313		55.7273		6.644102655	-12.14701732	0		0.31742	0.0
43	3	22	12.3771		61.9943		7.375118579	-11.0518732	0		0.332894	0.0
44	3	23	12.5996		68.4867		8.138805719	-10.17761293	0		0.351144	0.0
