# npix	mod	mod_pix	X(foc)		Y(foc)		theta		phi		Zp_x		Zp_y		Zp_z		Xp_x		Xp_y		Xp_z	omt(foc)	omt(ffr)
1	1	1	-25.5097	-8.82316	3.084780579	-71.3016052	0.0172529	-0.0509762	0.998551	-0.999851	0	0.0172754	0		-0.409179
2	1	2	-12.3896	-24.01		3.076251128	-27.47230618	0.0476172	-0.0247587	0.998559	-0.998865	0	0.0476318	0		-0.169567
3	1	3	-12.3853	-31.2814	3.821954775	-21.78305421	0.0618995	-0.0247368	0.997776	-0.998081	0	0.0619184	0		-0.155505
4	1	4	0.383943	-38.5979	4.375850375	0.575593138	0.0762949	0.000766484	0.997085	-0.997085	0	0.076295	0		0.00438421
5	2	1	57.657		2.47295		6.603371771	-86.56893091	-0.00688243	0.114793	0.993366	-0.999976	0	-0.00692823	0		1.02457
6	2	2	59.592		2.41766		6.823432929	-86.66787475	-0.00690562	0.118608	0.992917	-0.999976	0	-0.00695471	0		1.05834
7	2	3	61.527		2.37311		7.043191684	-86.7485839	-0.00695449	0.122419	0.992454	-0.999975	0	-0.0070072	0		1.09217
8	2	4	62.5169		0.721881	7.147558657	-88.28270983	-0.00372878	0.12437		0.992229	-0.999993	0	-0.00375796	0		1.09369
9	2	5	60.5813		0.69117		6.92729385	-88.32432923	-0.0035269	0.12056		0.9927		-0.999994	0	-0.00355282	0		1.05965
10	2	6	58.5713		0.779197	6.698845614	-88.25062403	-0.00356112	0.116598	0.993173	-0.999994	0	-0.00358558	0		1.0254
11	2	7	56.679		0.791217	6.483710402	-88.24611416	-0.00345603	0.112866	0.993604	-0.999994	0	-0.00347825	0		0.992473
12	2	8	57.593		-0.967042	6.58441143	-89.99586567	-8.27E-06	0.11467		0.993404	-1		0	-8.33E-06	0		0.992735
13	2	9	59.496		-0.97913	6.801213567	-89.94366318	-0.00011644	0.118422	0.992963	-1		0	-0.000117265	0		1.02532
14	2	10	61.5389		-0.959854	7.033372154	-89.8589589	-0.00030142	0.122447	0.992475	-1		0	-0.000303705	0		1.0606
15	2	11	62.2812		-2.65252	7.119876288	88.60459649	0.0030183	0.123908	0.992289	-0.999995	0	0.00304174	0		1.05699
16	2	12	60.4533		-2.67316	6.912551658	88.47985579	0.00319273	0.120309	0.992731	-0.999995	0	0.00321609	0		1.02589
17	2	13	58.4858		-2.66066	6.689014958	88.37300622	0.00330711	0.116431	0.993193	-0.999994	0	0.00332976	0		0.992719
18	2	14	56.5077		-2.61584	6.46389171	88.29306762	0.00335341	0.112529	0.993643	-0.999994	0	0.00337484	0		0.959638
19	2	15	57.4648		-4.34212	6.58141272	86.63511717	0.00672725	0.114417	0.99341		-0.999977	0	0.00677172	0		0.960456
20	2	16	59.3358		-4.311		6.793468139	86.8331457	0.00653467	0.118107	0.992979	-0.999978	0	0.00658072	0		0.99191
21	2	17	61.3353		-4.36671	7.02025819	86.95064719	0.00650158	0.122046	0.992503	-0.999979	0	0.00655055	0		1.02469
22	3	1	-9.94852	43.6117		5.190761165	12.66845874	-0.088268	-0.019841	0.995899	-0.996095	0	-0.0882854	0		-0.239903
23	3	2	-9.69441	50.0071		5.92215232	10.7903348	-0.101353	-0.0193164	0.994663	-0.994849	0	-0.101372	0		-0.243194
24	3	3	-9.48331	56.4028		6.661906194	9.363851967	-0.114467	-0.0188757	0.993248	-0.993425	0	-0.114487	0		-0.247076
25	3	4	-9.33672	62.7988		7.408964003	8.276188629	-0.127605	-0.0185614	0.991651	-0.991822	0	-0.127627	0		-0.252252
26	3	5	-9.1683		69.2485		8.166280076	7.362236071	-0.140873	-0.0182018	0.98986		-0.990024	0	-0.140897	0		-0.256565
27	3	6	-3.94228	65.8287		7.702650697	3.350497323	-0.133801	-0.00783324	0.990977	-0.991008	0	-0.133806	0		-0.108304
28	3	7	-4.0675		59.411		6.942952921	3.838645967	-0.120607	-0.00809242	0.992667	-0.9927		0	-0.120611	0		-0.107821
29	3	8	-4.21416	53.0041		6.187766913	4.466444605	-0.107457	-0.00839373	0.994174	-0.994209	0	-0.10746	0		-0.107632
30	3	9	-4.30713	46.5862		5.433966313	5.202823477	-0.0943087	-0.00858745	0.995506	-0.995543	0	-0.0943122	0		-0.105814
31	3	10	0.909317	43.36		5.032565514	-1.184827791	-0.0877005	0.00181383	0.996145	-0.996147	0	-0.0877007	0		0.0218933
32	3	11	1.14107		49.6157		5.769706721	-1.296198239	-0.100503	0.00227406	0.994934	-0.994937	0	-0.100503	0		0.0285578
33	3	12	1.34188		56.0867		6.534757539	-1.345057738	-0.113773	0.00267139	0.993503	-0.993507	0	-0.113773	0		0.0348977
34	3	13	1.54209		62.4609		7.290724423	-1.384524479	-0.126868	0.0030663	0.991915	-0.991919	0	-0.126869	0		0.0415857
35	3	14	1.74277		68.9104		8.058277006	-1.414591748	-0.140138	0.00346061	0.990126	-0.990132	0	-0.140139	0		0.0486825
36	3	15	6.95771		65.4369		7.685104223	-5.93402906	-0.133012	0.0138253	0.991018	-0.991113	0	-0.133024	0		0.190735
37	3	16	6.89713		59.0403		6.929193794	-6.531126028	-0.119861	0.0137224	0.992696	-0.992789	0	-0.119872	0		0.182442
38	3	17	6.53596		52.7208		6.181384863	-6.944060762	-0.106889	0.0130184	0.994186	-0.99427	0	-0.106898	0		0.166651
39	3	18	6.44346		46.3782		5.438199905	-7.79087	-0.0938952	0.0128468	0.995499	-0.995581	0	-0.093903	0		0.158093
40	3	19	11.616		43.0124		5.169184292	-14.90102016	-0.0870625	0.0231672	0.995933	-0.996201	0	-0.0870859	0		0.279051
41	3	20	11.9453		49.3858		5.906026312	-13.37464276	-0.100106	0.0238018	0.994692	-0.994974	0	-0.100135	0		0.298531
42	3	21	12.2313		55.7273		6.644102655	-12.14701732	-0.113111	0.024346	0.993284	-0.993579	0	-0.113145	0		0.31742
43	3	22	12.3771		61.9943		7.375118579	-11.0518732	-0.125984	0.0246072	0.991727	-0.992027	0	-0.126023	0		0.332894
44	3	23	12.5996		68.4867		8.138805719	-10.17761293	-0.139341	0.0250152	0.989928	-0.990238	0	-0.139385	0		0.351144
